Sample:,live cells/Single Cells/Jurkats | Count,live cells/Single Cells/Jurkats/CD3somethin | Count,live cells/Single Cells/Jurkats/CD69pos | Freq. of Parent
01-Well-A1.fcs,2162,2007,1.25
01-Well-A2.fcs,3876,3584,5.08
01-Well-A3.fcs,3767,3478,1.3
01-Well-A4.fcs,2777,2556,1.58
01-Well-A5.fcs,2943,2737,1.46
01-Well-A6.fcs,2404,2227,0.5
01-Well-A7.fcs,2605,2443,4.34
01-Well-A8.fcs,2214,2058,1.17
01-Well-A9.fcs,2793,2574,1.04
01-Well-A10.fcs,3098,2883,1.71
01-Well-B1.fcs,2162,2028,0.88
01-Well-B2.fcs,2188,2029,4.48
01-Well-B3.fcs,2309,2123,1.08
01-Well-B4.fcs,2603,2430,1.34
01-Well-B5.fcs,3001,2804,1.4
01-Well-B6.fcs,2321,2143,0.86
01-Well-B7.fcs,2492,2322,3.81
01-Well-B8.fcs,2106,1964,1
01-Well-B9.fcs,2681,2488,0.75
01-Well-B10.fcs,2915,2725,1.65
01-Well-C1.fcs,2062,1911,0.68
01-Well-C2.fcs,2491,2310,4.66
01-Well-C3.fcs,2017,1876,1.34
01-Well-C4.fcs,2529,2323,0.91
01-Well-C5.fcs,3224,3018,1.49
01-Well-C6.fcs,1520,1407,0.99
01-Well-C7.fcs,2287,2110,3.67
01-Well-C8.fcs,2187,2015,0.46
01-Well-C9.fcs,2872,2674,1.01
01-Well-C10.fcs,3051,2836,1.84
01-Well-D1.fcs,2407,2239,0.5
01-Well-D2.fcs,2494,2329,4.49
01-Well-D3.fcs,2390,2248,0.63
01-Well-D4.fcs,2670,2468,1.05
01-Well-D5.fcs,2952,2755,1.93
01-Well-D6.fcs,2529,2379,0.63
01-Well-D7.fcs,2576,2393,4.5
01-Well-D8.fcs,2271,2113,0.62
01-Well-D9.fcs,3060,2831,0.88
01-Well-D10.fcs,2974,2750,1.31
01-Well-E1.fcs,2408,2265,1.12
01-Well-E2.fcs,2538,2365,4.14
01-Well-E3.fcs,2165,2009,0.51
01-Well-E4.fcs,2687,2514,0.71
01-Well-E5.fcs,2950,2743,1.19
01-Well-E6.fcs,2403,2229,1.04
01-Well-E7.fcs,2276,2090,3.51
01-Well-E8.fcs,2123,1978,0.47
01-Well-E9.fcs,2607,2412,0.92
01-Well-E10.fcs,2970,2778,1.31
01-Well-F1.fcs,2171,2005,0.83
01-Well-F2.fcs,2394,2238,4.85
01-Well-F3.fcs,2411,2240,0.83
01-Well-F4.fcs,2922,2711,0.72
01-Well-F5.fcs,2824,2631,1.88
01-Well-F6.fcs,2287,2130,1.01
01-Well-F7.fcs,2593,2415,3.9
01-Well-F8.fcs,2293,2122,0.87
01-Well-F9.fcs,2559,2376,0.55
01-Well-F10.fcs,3200,2966,1.03
02-Well-A1.fcs,4778,4423,0.88
02-Well-A2.fcs,2813,2594,3.63
02-Well-A3.fcs,3890,3616,0.62
02-Well-A4.fcs,3728,3399,0.56
02-Well-A5.fcs,3781,3476,1.19
02-Well-A7.fcs,2131,1969,0.56
02-Well-A8.fcs,2050,1906,2.93
02-Well-A9.fcs,2418,2247,0.74
02-Well-A10.fcs,2475,2263,0.44
02-Well-A11.fcs,2946,2721,0.68
02-Well-B1.fcs,4904,4562,0.9
02-Well-B2.fcs,2901,2685,3.65
02-Well-B3.fcs,3786,3529,0.74
02-Well-B4.fcs,3709,3423,0.43
02-Well-B5.fcs,3728,3452,1.29
02-Well-B7.fcs,2041,1886,0.69
02-Well-B8.fcs,2122,1970,3.16
02-Well-B9.fcs,2004,1843,0.45
02-Well-B10.fcs,2564,2358,0.59
02-Well-B11.fcs,2952,2733,0.75
02-Well-C1.fcs,4321,4008,1.13
02-Well-C2.fcs,2700,2499,3.41
02-Well-C3.fcs,3632,3361,0.3
02-Well-C4.fcs,3785,3517,0.69
02-Well-C5.fcs,3740,3451,1.23
02-Well-C7.fcs,1913,1777,0.63
02-Well-C8.fcs,2060,1902,2.82
02-Well-C9.fcs,1904,1748,0.21
02-Well-C10.fcs,2482,2309,0.32
02-Well-C11.fcs,2579,2365,0.97
Mean,2729,2531,1.54
SD,643,595,1.29